,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230225,05:43:48,37.75,110.59,21,8
1,20230225,07:20:47,22.39,91.83,33,17
2,20230225,07:22:44,26.41,80.14,25,13
3,20230225,07:22:44,26.74,80.94,19,12
4,20230225,07:23:43,28.5,77.3,81,41
5,20230225,07:24:40,31.56,74.55,49,31
6,20230226,05:25:29,39.25,111.11,31,12
7,20230226,07:02:31,23.8,90.19,150,80
8,20230226,07:02:26,22.71,88.0,33,17
9,20230226,08:41:40,17.27,78.22,27,9
10,20230226,08:43:26,23.26,72.49,24,8
11,20230226,08:44:09,24.93,67.1,56,30
12,20230226,08:44:56,28.73,77.1,85,32
13,20230226,08:48:08,37.72,61.87,74,25
14,20230227,05:05:46,35.61,112.42,50,18
15,20230227,06:44:02,24.36,90.02,314,179
16,20230227,06:44:25,27.47,95.24,12,4
17,20230227,08:23:16,18.55,73.7,22,16
18,20230227,08:24:30,22.28,73.19,10,10
19,20230227,08:25:29,24.92,67.07,134,41
20,20230227,08:25:56,28.69,77.32,157,54
21,20230227,08:26:47,31.54,74.32,40,13
22,20230227,08:29:03,36.65,61.39,20,16
23,20230227,08:29:11,38.7,65.82,21,8
24,20230227,08:29:32,37.79,60.73,84,31
25,20230227,08:29:34,41.17,69.23,49,18
26,20230227,10:09:45,35.09,40.38,11,4
27,20230227,18:16:46,-34.51,-58.63,35,15
28,20230228,08:03:32,16.46,80.98,83,26
29,20230228,08:05:23,21.15,72.84,19,8
30,20230228,08:05:42,22.34,73.15,12,5
31,20230228,08:05:58,22.87,72.22,10,3
32,20230228,08:06:27,26.74,80.59,36,28
33,20230228,08:06:25,26.97,81.39,31,13
34,20230228,08:06:56,24.92,67.07,58,20
35,20230228,08:10:46,37.81,61.95,39,20
36,20230228,08:10:52,41.22,68.92,9,5
37,20230228,13:14:56,40.32,-3.52,31,12
38,20230228,19:55:10,20.38,-97.55,8,3
39,20230301,04:10:05,-22.95,148.66,11,6
40,20230301,04:10:28,-21.4,148.12,19,8
41,20230301,07:45:45,21.02,85.12,14,5
42,20230301,07:46:23,23.81,89.95,106,48
43,20230301,07:46:29,23.83,86.38,27,19
44,20230301,07:47:03,25.85,85.47,19,10
45,20230301,07:47:32,26.7,81.14,31,10
46,20230301,09:31:59,38.05,61.44,79,30
47,20230301,11:17:29,50.22,18.68,28,10
48,20230302,07:25:21,16.65,96.14,34,14
49,20230302,07:26:56,20.88,85.18,9,4
50,20230302,07:27:12,22.54,88.57,20,8
51,20230302,07:27:30,24.04,89.97,173,95
52,20230302,07:27:38,23.76,86.46,32,16
53,20230302,10:58:51,50.22,18.64,56,25
54,20230303,07:08:33,23.55,90.84,70,38
55,20230303,07:08:36,23.94,90.52,252,111
56,20230303,08:49:31,22.71,72.06,11,4
57,20230304,06:46:35,13.83,99.94,40,16
58,20230304,06:50:32,27.33,95.41,23,9
59,20230304,08:29:41,19.26,72.87,54,23
60,20230304,08:30:31,22.09,72.83,5,4
61,20230304,08:32:45,30.17,71.42,20,12
62,20230304,08:33:02,31.46,73.07,22,11
63,20230304,08:35:26,38.05,62.34,135,48
