,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230415,09:43:03,19.14,73.02,60,35
1,20230415,09:44:09,23.08,72.62,45,19
2,20230415,09:44:53,25.05,68.08,54,27
3,20230415,09:46:42,31.96,74.39,61,26
4,20230415,13:10:34,31.84,6.81,38,14
5,20230416,07:44:48,24.23,90.82,78,42
6,20230416,09:24:51,21.12,72.82,36,13
7,20230416,09:25:18,22.85,72.45,43,21
8,20230416,11:10:28,34.91,40.82,29,11
9,20230417,09:06:41,22.75,72.67,32,16
10,20230417,09:07:54,28.64,77.39,64,20
11,20230417,10:52:05,38.46,54.12,137,43
12,20230417,10:52:20,39.6,53.24,89,34
13,20230417,10:53:30,43.55,52.61,40,13
14,20230417,12:16:06,-26.05,29.3,13,6
15,20230417,14:13:07,31.86,6.26,41,16
16,20230417,20:59:06,31.83,-93.37,26,14
17,20230418,10:31:35,31.03,49.18,43,15
18,20230418,10:33:02,37.92,54.01,72,22
19,20230418,10:33:14,38.56,54.15,66,22
20,20230419,06:49:43,33.88,113.27,23,8
21,20230419,06:50:19,35.72,112.52,96,31
22,20230419,08:28:12,22.55,88.51,29,18
23,20230419,08:28:29,24.01,90.42,150,47
24,20230419,10:13:35,36.66,61.62,12,4
25,20230419,10:13:52,37.87,63.42,8,3
26,20230419,10:13:52,37.77,61.62,24,8
27,20230419,10:14:23,37.93,53.9,75,46
28,20230419,10:14:31,38.55,54.17,26,13
29,20230419,13:18:27,-26.81,27.7,8,4
30,20230420,08:09:43,23.81,90.4,60,21
31,20230420,12:59:40,-26.59,29.2,33,15
32,20230421,09:31:12,20.93,73.09,41,18
33,20230421,09:34:01,31.31,74.66,45,29
34,20230421,09:36:29,38.22,63.08,9,4
35,20230421,09:36:55,41.18,69.09,26,11
