,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230421,14:39:18,33.42,-7.49,25,11
1,20230422,09:14:48,30.37,76.19,22,8
2,20230422,09:16:05,34.06,71.58,40,18
3,20230422,09:18:13,41.32,69.09,6,4
4,20230422,10:56:36,31.08,49.29,46,14
5,20230422,12:43:31,50.26,18.31,32,16
6,20230422,19:05:24,-34.52,-58.75,82,25
7,20230422,21:05:36,31.08,-103.11,46,17
8,20230422,21:05:52,32.41,-101.63,342,109
9,20230423,08:56:33,30.18,71.46,76,27
10,20230423,08:56:31,30.43,72.38,29,12
11,20230423,08:56:39,31.45,73.04,37,17
12,20230423,08:57:28,34.09,71.59,25,15
13,20230424,08:38:03,31.42,74.2,23,12
14,20230424,10:25:08,54.31,53.05,31,10
15,20230424,13:24:59,-26.54,29.37,22,11
16,20230425,11:41:34,32.76,38.89,11,6
17,20230425,13:23:17,31.81,5.91,32,16
18,20230426,06:18:14,32.83,116.49,19,7
19,20230426,09:43:22,41.35,69.14,30,15
20,20230426,11:23:22,35.22,40.52,48,18
21,20230427,14:25:58,31.48,5.88,9,5
22,20230427,21:12:20,32.24,-103.56,30,14
23,20230428,09:12:32,62.54,50.76,28,13
24,20230428,10:43:55,29.09,48.1,32,22
25,20230428,10:46:04,38.47,54.13,43,23
26,20230428,10:46:19,39.55,53.32,116,52
27,20230428,10:52:54,62.46,50.55,27,12
28,20230428,18:52:50,-35.27,-58.36,49,21
