,date,time_UTC,lat,lon,source_rate_t/h,uncertainty
0,20230120,06:56:12,23.22,90.5,63,19
1,20230120,06:56:22,23.8,90.33,60,20
2,20230120,06:56:59,27.26,95.24,28,9
3,20230120,08:36:06,19.17,72.94,72,26
4,20230120,08:36:39,21.23,72.77,56,23
5,20230120,08:36:57,22.24,73.03,27,16
6,20230120,08:37:08,22.98,72.53,24,13
7,20230120,20:30:04,31.71,-104.02,136,62
8,20230121,06:38:13,27.32,95.38,21,7
9,20230121,08:17:09,18.66,73.83,12,8
10,20230121,08:17:22,19.17,72.86,56,29
11,20230121,08:18:23,23.12,72.44,21,7
12,20230121,08:19:02,26.56,80.2,9,5
13,20230121,08:24:20,41.64,60.02,90,32
14,20230121,10:02:18,31.71,45.89,5,3
15,20230121,18:31:20,37.31,-81.88,3,2
16,20230121,20:11:07,32.0,-100.48,63,22
17,20230122,07:59:42,22.84,72.8,23,9
18,20230122,08:01:51,31.55,74.44,27,9
19,20230122,19:52:18,31.31,-103.02,16,14
20,20230123,07:39:59,22.04,83.72,6,3
21,20230123,07:40:00,22.77,88.52,28,10
22,20230123,07:40:18,23.7,86.48,45,21
23,20230123,07:40:17,24.12,89.85,40,20
24,20230123,07:43:06,30.99,74.43,41,15
25,20230123,09:26:11,38.68,54.23,42,18
26,20230123,12:50:09,40.42,-3.62,61,25
27,20230123,19:33:13,32.21,-93.81,15,6
28,20230124,07:21:20,22.05,83.76,9,3
29,20230124,07:21:21,23.91,90.26,39,13
30,20230124,07:21:20,23.87,89.24,40,13
31,20230124,07:21:34,23.62,86.43,18,7
32,20230124,07:22:10,27.34,95.61,26,9
33,20230124,09:03:03,24.85,67.07,50,16
34,20230124,09:06:44,37.45,62.41,135,42
35,20230124,09:07:29,40.26,61.33,10,4
36,20230124,09:07:30,38.67,54.23,65,22
37,20230124,09:07:41,40.85,61.16,21,8
38,20230124,10:41:51,15.58,45.75,10,6
39,20230124,12:11:17,-26.75,29.02,9,3
40,20230124,12:28:32,31.81,5.98,17,8
41,20230125,07:02:24,23.25,91.13,18,9
42,20230125,07:02:36,23.78,90.07,68,31
43,20230125,07:02:36,23.72,89.55,40,24
44,20230125,07:03:17,27.39,95.37,14,5
45,20230125,08:45:42,30.87,73.11,36,13
46,20230125,08:48:42,40.68,62.3,53,17
47,20230125,10:33:26,52.5,38.28,70,25
48,20230126,08:26:53,31.49,74.39,12,6
49,20230126,08:26:54,31.26,74.63,38,13
50,20230126,10:13:34,48.68,38.61,31,15
51,20230126,10:14:25,51.59,36.36,14,7
52,20230126,20:17:15,31.1,-101.84,35,13
53,20230126,20:17:33,32.11,-101.63,15,10
54,20230127,08:07:00,28.01,78.07,24,10
55,20230127,08:07:54,29.96,71.72,14,5
56,20230127,08:08:05,31.49,74.28,49,19
57,20230127,08:10:57,37.74,61.86,120,68
58,20230127,09:54:53,48.29,36.94,14,9
