,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230324,08:56:41,24.73,67.82,152,50
1,20230324,09:01:13,38.55,54.06,95,30
2,20230324,09:01:13,39.83,58.55,54,18
3,20230324,12:22:18,31.9,6.03,23,10
4,20230325,06:57:01,27.17,95.24,32,11
5,20230325,08:36:07,18.96,72.82,74,29
6,20230325,08:41:59,39.66,66.86,12,5
7,20230325,10:20:59,31.35,48.88,31,11
8,20230326,09:17:25,19.14,72.98,27,10
9,20230326,09:20:40,31.53,74.34,28,13
10,20230326,09:23:04,38.54,65.79,18,9
11,20230326,09:23:17,40.56,70.88,8,6
12,20230326,11:04:03,38.71,53.94,88,52
13,20230326,11:04:35,40.56,52.7,195,76
14,20230326,19:31:28,37.31,-82.28,7,6
15,20230326,19:32:02,39.81,-80.51,28,14
16,20230326,21:10:55,30.72,-101.64,213,78
17,20230326,21:11:24,32.75,-96.97,40,17
18,20230327,09:01:00,28.71,77.31,64,22
19,20230327,09:01:56,31.51,74.46,25,15
20,20230327,09:02:11,32.48,74.51,7,4
21,20230327,09:04:32,40.83,72.35,9,5
22,20230327,09:04:56,41.38,69.15,9,5
23,20230327,12:24:47,29.68,21.42,16,12
24,20230327,14:06:09,31.8,6.92,30,13
25,20230327,14:08:55,40.29,-3.58,9,4
26,20230327,18:51:51,-34.57,-58.64,58,21
27,20230328,08:40:23,23.67,86.43,12,4
28,20230328,08:48:37,52.0,75.76,28,13
29,20230328,10:26:29,39.33,54.46,101,39
30,20230328,10:27:29,42.91,52.78,25,13
31,20230328,18:33:14,-34.57,-58.43,75,26
32,20230329,08:29:48,51.7,75.47,49,16
33,20230329,08:29:57,53.9,88.07,32,18
34,20230329,10:06:40,36.35,59.74,15,6
35,20230329,10:07:29,38.38,54.06,26,10
36,20230329,10:07:58,39.46,53.85,85,29
37,20230329,10:09:14,45.07,55.48,8,3
38,20230329,10:13:26,60.93,61.95,44,25
39,20230329,15:10:04,33.27,-7.51,34,13
40,20230330,09:48:25,37.91,61.75,55,22
41,20230330,09:48:50,37.64,54.2,72,31
42,20230330,09:49:02,38.5,54.61,62,21
43,20230330,09:48:55,40.2,60.53,30,11
44,20230330,09:49:28,39.99,54.09,137,54
45,20230330,19:55:55,33.63,-87.48,20,9
46,20230330,19:55:43,33.7,-84.26,5,2
47,20230330,19:56:15,35.01,-86.86,5,2
48,20230330,19:56:47,37.22,-82.27,7,6
49,20230330,19:56:42,37.25,-81.92,9,6
50,20230330,19:57:27,39.53,-80.48,68,38
51,20230331,06:08:26,46.86,124.97,51,19
