,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230408,06:56:16,35.62,112.36,125,57
1,20230408,08:34:26,23.74,86.37,21,10
2,20230408,08:34:28,24.38,90.29,119,64
3,20230408,08:36:28,28.53,77.31,56,20
4,20230408,08:37:32,31.37,74.28,30,10
5,20230409,08:15:22,22.47,88.53,20,10
6,20230409,08:15:27,23.3,90.16,29,15
7,20230409,09:59:03,31.51,74.42,53,19
8,20230409,09:59:03,31.54,73.22,28,13
9,20230409,10:06:08,55.89,57.89,18,7
10,20230409,13:22:50,31.77,6.01,16,8
11,20230409,20:10:14,39.03,-80.98,22,12
12,20230410,08:05:17,51.67,75.45,53,18
13,20230410,09:39:49,30.72,71.9,7,3
14,20230410,09:40:03,31.5,73.53,27,10
15,20230410,09:40:02,31.47,74.84,108,43
16,20230410,09:40:19,31.93,74.19,48,17
17,20230410,14:45:09,32.89,-8.26,24,9
18,20230410,19:51:27,39.91,-80.62,23,9
19,20230411,09:20:00,24.94,67.1,108,47
20,20230411,09:20:14,28.55,77.45,68,24
21,20230411,09:21:07,31.49,74.94,86,36
22,20230411,09:28:50,52.83,47.41,100,32
23,20230411,11:08:41,52.94,47.57,164,56
24,20230411,11:10:30,59.21,41.31,38,13
25,20230411,12:28:14,-26.5,29.22,33,11
26,20230411,19:31:20,35.26,-80.56,6,3
27,20230411,19:32:16,38.26,-82.66,9,5
28,20230412,09:07:51,51.57,76.28,32,15
29,20230412,09:09:05,53.41,61.34,99,43
30,20230412,10:50:40,55.06,40.98,39,16
31,20230413,05:04:38,-22.97,148.67,11,6
32,20230413,08:40:30,22.3,88.55,30,16
33,20230413,08:40:42,23.27,90.02,50,22
34,20230413,08:40:56,24.2,90.85,231,114
35,20230413,18:33:44,-34.57,-58.6,40,13
36,20230413,18:54:51,37.31,-82.31,29,18
37,20230413,18:55:10,39.57,-80.27,77,36
38,20230414,04:45:52,-22.99,148.56,13,6
39,20230414,08:21:31,22.37,91.9,30,21
40,20230414,08:21:44,22.53,88.54,25,20
41,20230414,08:21:57,23.7,90.57,246,88
42,20230414,08:22:13,23.69,86.52,39,21
43,20230414,08:22:22,25.23,88.79,127,66
