,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230311,06:26:28,53.69,91.06,17,8
1,20230311,07:59:51,26.48,80.26,16,7
2,20230311,08:00:17,27.3,78.1,25,12
3,20230311,08:00:38,28.64,77.36,87,32
4,20230311,08:01:15,30.39,76.79,12,9
5,20230311,08:01:34,31.47,74.25,52,29
6,20230311,09:44:42,38.64,54.28,19,7
7,20230311,09:44:55,35.28,40.4,61,19
8,20230311,13:05:09,29.5,7.0,11,4
9,20230312,07:39:47,23.35,90.24,77,26
10,20230312,07:41:10,26.99,80.88,15,7
11,20230312,07:42:02,28.97,77.21,64,22
12,20230312,09:25:14,35.46,51.34,24,10
13,20230312,09:25:38,38.22,60.64,80,28
14,20230312,09:25:29,37.96,63.46,12,8
15,20230313,07:20:47,23.55,90.65,92,33
16,20230313,07:29:27,51.98,75.12,31,12
17,20230313,09:02:43,24.92,67.01,134,55
