Country_code_A3,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUT,kt_methane,142.3629993,156.243999,156.7729991,157.304999,157.8410007,158.3779996,158.2899996,158.1990005,158.1039989,158.000999,157.893999,157.9489991,158.0070001,158.0639997,158.1210011,158.1779991,158.6740001,157.5809225,156.7926752,156.9487925,157.7507342,156.8227744,152.5695106,150.3735713,141.2842727,133.7314761,125.9220239,119.5698189,115.0880489,110.3177195,105.6902014,101.5938004,102.9142418,128.0016904,95.80335693,92.16766664,87.12608893,77.3864043,73.15181302,69.97102784,66.0122962,61.41555673,56.95131005,63.4228993,59.77300536,45.20102812,45.37542807,45.49702742,45.88032731,42.37181097,39.13159452,37.91771022
AZE,kt_methane,24.25228885,27.5355712,28.36516928,29.19146064,30.01992633,30.85512321,31.53991558,32.21296006,32.89326239,33.58378369,34.28715489,34.97691947,35.6777631,36.39584408,37.13520695,37.8983865,38.5967532,39.30365249,40.02242528,40.7455154,41.46564036,41.60325022,39.33678437,36.71163727,34.42544415,33.01466162,33.08611015,33.69240515,34.70001086,35.51887711,36.65750648,38.10039181,39.57512192,41.16588155,42.72323558,45.96991369,50.01668491,53.49554948,55.62134869,57.55212362,59.05424082,59.91516958,61.18071909,62.94310381,64.41758459,65.63898374,66.25084742,67.13245115,68.24542538,69.24062504,70.25033736,71.17056466
BDI,kt_methane,0.362545717,0.437407539,0.463580679,0.489622286,0.516805238,0.546325629,0.582852167,0.623229159,0.666835444,0.71323852,0.762034213,0.815347161,0.871584934,0.930812897,0.993598761,1.060383064,1.138189628,1.221568508,1.308755716,1.3982549,1.488688243,1.592713904,1.673241543,1.692072751,1.718103657,1.705438714,1.683533243,1.717851688,1.821076034,1.88098238,1.938029783,2.035547075,2.172777735,2.252905993,2.40510888,2.5231228,2.711952887,2.892929257,3.103410929,3.31068734,3.550740452,3.797043597,4.063656511,4.356575174,4.652922552,4.750725588,4.903673149,5.101465161,5.340524274,5.528589389,5.723277167,5.921427147
BEL,kt_methane,99.28329796,109.3659983,109.775001,110.1819987,110.5869983,110.991001,111.3330008,111.6779996,112.0249981,112.3740005,112.7250011,112.918998,113.1069983,113.2930011,113.4790005,113.6619998,113.9310021,114.1969984,114.4629987,114.7280008,116.8049991,117.2760008,119.2739995,109.098524,115.012944,111.2068842,102.455926,100.3602797,94.82755431,89.1436839,84.56300956,68.26759594,62.52343981,50.6982808,51.55076419,44.63025813,42.36772931,36.67177283,32.06084184,29.84074888,26.71441787,27.70554833,27.76246459,32.20314207,29.69508013,29.11313547,29.2950179,29.47780068,30.02774959,29.59270606,29.16396547,29.17415063
BEN,kt_methane,0.665375761,0.838049969,0.91888093,1.004711825,1.095988451,1.193181351,1.299479528,1.413227969,1.534429855,1.663452981,1.800695308,1.91617843,2.033542998,2.157605245,2.288645506,2.427045476,2.57721214,2.736337073,2.905280348,3.086206621,3.280945749,3.468334311,3.647482342,3.87317263,4.060774325,4.306711504,4.524870276,4.766160964,4.989916854,5.243537849,5.523570409,5.827351224,6.134381213,6.428028734,6.751844606,7.027307901,7.369410241,7.788160091,8.206041682,8.566085074,8.921911111,9.321868922,9.802822557,10.3940166,11.00010202,11.47658515,11.98451907,12.59213083,13.27899653,13.83842831,14.42142843,15.01441841
BFA,kt_methane,0.715945117,0.846365706,0.880561838,0.916021737,0.952894193,0.99133742,1.088432568,1.198517502,1.314516386,1.437198354,1.567339629,1.744769752,1.939488288,2.146891473,2.367238814,2.600768344,2.756221246,2.906271314,3.063316325,3.227743024,3.399963783,3.679441503,3.83206302,4.029996453,4.202075779,4.46714673,4.965028129,5.426419565,5.9316557,6.480412734,6.907089049,7.56859464,8.236589944,9.064534042,9.846483149,10.83913761,11.7840853,12.74795289,13.85835437,14.82160437,15.94918533,17.22463267,18.58193297,19.98088362,21.35060101,22.74757547,24.22952993,25.82323037,27.52436989,28.95840205,30.46714792,32.01143923
BGD,kt_methane,6.653694488,8.28040171,8.957534365,9.64583498,10.368842,11.14986382,12.64793066,14.37736418,16.24990435,18.26009486,20.40016899,21.96479217,23.49574237,25.09897863,26.78188837,28.55074052,30.29228316,32.09572051,33.97137921,35.90856833,37.89788016,39.91788723,42.31388184,44.74012824,47.11071442,49.78424426,52.51087925,55.33265743,58.41103427,61.52932807,64.88603186,69.17601295,73.47513305,78.12931799,83.12533493,88.68096081,94.86413823,99.66516193,106.1933841,112.5301684,119.2850626,126.8890708,134.966345,143.2291293,151.8366524,161.0051051,169.7218313,178.6676072,188.1835429,196.7080732,205.6187565,214.513624
BGR,kt_methane,147.5189998,156.8219997,159.0530001,161.3000001,163.5630004,165.8429995,167.6049996,169.3660003,171.1329998,172.9069996,174.6870003,175.7689998,176.8299996,177.8960004,178.9669995,180.0459998,180.0160002,179.9720003,179.9289996,179.8869996,178.8700003,178.3949997,177.5969999,176.6810002,175.6589999,174.5310001,173.6360002,174.1139995,171.8579999,168.5749999,163.0430002,162.3060002,159.9889996,157.4740003,155.1140004,153.1240002,150.3639996,148.29,145.957,147.0519994,140.3110003,138.2910002,134.9839993,122.1939995,122.6919998,134.9640003,134.1007075,133.2184227,130.6096625,132.2927391,133.9975045,133.8042053
BHR,kt_methane,2.246570347,2.638699067,2.755660632,2.891581106,3.052447402,3.241826361,3.463172641,3.714016264,3.979625709,4.237918945,4.472152807,4.672169832,4.842559545,4.995784746,5.151104926,5.323968732,5.519838565,5.735914096,5.963969257,6.190761546,6.40653319,6.679262851,6.91508111,7.209489239,7.379122519,7.586089996,7.806340197,8.029546392,8.299926627,8.613136512,8.99848609,9.40684402,9.879902025,10.45896614,11.14684961,11.93252193,12.83530365,13.87862575,14.92113208,15.80139879,16.56366458,17.08499754,17.47368915,17.83048672,18.21756318,18.71577453,19.4272576,20.32083507,21.24523317,21.93590545,22.64903115,23.44279217
BHS,kt_methane,2.659570208,3.099282349,3.217575026,3.331848559,3.447058904,3.567327718,3.691948439,3.822383683,3.95904322,4.100764691,4.247361254,4.406758628,4.573307089,4.744208363,4.91704691,5.090130964,5.254135796,5.415946583,5.578545865,5.745417877,5.919778355,5.999264557,6.073109645,6.190865041,6.339919991,6.498957145,6.647375586,6.764541191,6.907206547,7.08959395,7.259949994,7.408625602,7.570521069,7.695571817,7.846162386,8.032178695,8.209623859,8.370502601,8.473972,8.538570356,8.67798275,8.812611664,8.977601815,9.090331089,9.195249813,9.314208033,9.386636946,9.498557163,9.626784022,9.732857187,9.840099124,9.945379183
