name,lat,lng,category,Estimated amount of included waste,Waste concentration,Informal Sector,Status
DEIR AL BALAH,31.3922865008736,34.3819404209015,Dumpsites,1000000 - 1500000,245900 - 250000,We need your support,Active
CANCHARANI,-15.8922609134665,-70.0283691224815,Dumpsites,1000000 - 1500000,222300 - 333000,35,Active
LAGOON DUMP SITE,4.82749982857664,31.5056986024137,Dumpsites,630000 - 910000,25200 - 36400,100,Active
JAQUIRA (HAQUIRA),-13.5521494921278,-72.0172537622531,Dumpsites,1000000 - 1500000,95200 - 142800,40,Active
TIBAR LANDFILL,-8.57746903883793,125.500251839985,Dumpsites,770000 - 1100000,212000 - 303000,100,Active
QUEBRADA HONDA ISPAMPA YURA,-16.2722760448942,-71.647440373719,Dumpsites,450000 - 630000,44100 - 63000,70,Active
CHINANDEGA BOTADERO,12.620820667714533,-87.14393619,Dumpsites,We need your suppor,We need your suppor,3000,Active
RAMNICU SARAT LANDFILL,45.36677634,27.06631655,Dumpsites,We need your suppor,We need your suppor,We need your support,We need your support
BAKOTEH DUMPSITE,13.439247131,-16.6972772,Dumpsites,We need your suppor,We need your suppor,We need your support,We need your support
DOUDA DUMPSITE,11.523468326,43.16389851,Dumpsites,We need your suppor,We need your suppor,We need your support,Active
SAN JOSECITO,7.64102,-72.21321,Dumpsites,We need your suppor,We need your suppor,100,Active
MOYOBAMABA DUMPSITE,-5.9984,-76.99572,Dumpsites,We need your suppor,We need your suppor,5,Active
TUMBES DUMPSITE,-3.59798,-80.4193,Dumpsites,We need your suppor,We need your suppor,35,Active
CHIMBOTE DUMPSITE,-9.03881,-78.60944,Dumpsites,We need your suppor,We need your suppor,15-20,Active
PIURA DUMPSITE,-5.16932,-80.55949,Dumpsites,We need your suppor,We need your suppor,70,Active
JULIACA DUMPSITE,-15.49927,-70.10296,Dumpsites,273750,136875,0,Active
