Country_code_A3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,0.31002665638282,0.3502060672978,0.35239826025789,0.35461886325125,0.35622150919749,0.35692893037475,0.35648548665458,0.35513326192608,0.35346043868773,0.35249304331398,0.3528664389761,0.35524902843539,0.35946239104144,0.36427780512866,0.36798593725104,0.36922734802936,0.36719935214759,0.36256956674296,0.35796367520214,0.35707942514367,0.36270831601538,0.37558615844268,0.39290027727003,0.41414996673927,0.43606911704465,0.45172808281779,0.46109323358234,0.47120705178551,0.47602689634483,0.47905535690391,0.48693848416268,0.48864789268277,0.48920931273233,0.49341917896832,0.50132597614439,0.50286779180104,0.50160768621521,0.49916255031281,0.49420167183922,0.48027697321796,0.47152232499579,0.47346699955356,0.47342494891468,0.47750786319094,0.47962511648375,0.48019404333469,0.48285753901563,0.48689171698162,0.4908427401272,0.49402919792947,0.49723634161032,0.50072006771165
AFG,1.8577086323939,2.2531749744449,2.4026280515767,2.5582084179232,2.71704785421,2.8760191697338,3.0493581477272,3.2248112561911,3.3920795274092,3.5382928297028,3.652969716762,3.7486021622708,3.8102186307335,3.8466959236368,3.8787771739577,3.9272104083115,3.9694366600872,4.0338074128945,4.1434332703165,4.3242513362557,4.5962642033147,4.9329930505587,5.371821166341,5.8751274401245,6.3735641094968,6.8127442479665,7.1656175429133,7.4416154304461,7.6762186061326,7.9281119207591,8.2434486608114,8.6556985750814,9.142236126308,9.8379127956172,10.269601745791,11.085142541899,11.749991744052,12.790401698481,13.439956927271,14.925221712624,16.304333131135,16.962648258013,18.294354831769,19.386106906449,20.265513793977,21.033985522878,21.785077426335,22.564520641943,23.221900785863,23.942344564003,24.685139623472,25.410880792548
AGO,1.7104601949903,2.0986301463135,2.2758687358067,2.4656902518995,2.6682715594567,2.883862891639,3.1416261351538,3.4199004330449,3.7173294756756,4.0374155522387,4.383241976497,4.7897604213396,5.2336261643206,5.7070887147036,6.2025755264403,6.7132839163705,7.2691600842705,7.8440921615216,8.4412575855608,9.0748280726791,9.7581308720319,10.460043307495,11.001827070417,10.856342786629,11.476536097656,12.694020687702,13.955909621167,15.056645395205,16.087640684306,17.062741854237,18.134943660829,19.361583659502,21.174927876806,22.634724812863,24.579261049104,26.980035068,29.203737620809,31.695382643922,34.191263863935,36.012157261056,38.152967896374,40.3234974085,43.063162880478,45.67944460398,48.364742038937,50.732533583119,52.310932611731,54.101010545312,55.698625142227,57.537379540293,59.436835934644,61.155542131504
AIA,0.032790741737,0.0330222178442,0.0332536939514,0.0334851700586,0.0337166461658,0.033948122273,0.0340228911256,0.034097659934,0.0341724287866,0.034247197595,0.0343219664476,0.0342809972024,0.036603905308328,0.0365976352753,0.0365537926688,0.036509950015,0.03834257196,0.040175193905,0.0420078158027,0.0438404377477,0.0456730596927,0.047282084179,0.0488911087126,0.0505001331989,0.0521091577325,0.0537181822661,0.0549914862392,0.056378359308,0.0576428484099,0.0590267831883,0.0604107180138,0.0621220821483,0.0639689737696,0.0656839714208,0.0673989690248,0.0691139666288,0.0703509961704,0.071588025712,0.0728250552536,0.0740620847952,0.0752991143368,0.0762200505288,0.077140986768,0.0780619230072,0.0789828591992,0.0799037954384,0.0799037954384,0.0799037954384,0.0799037954384,0.08027216992464,0.080642242700196,0.080789932152555
ALB,2.376079818375,2.7737179347001,2.86202283013,2.9519063065254,3.0433220642629,3.1362902673226,3.2326680179677,3.331095897614,3.431411370407,3.533643336159,3.6378837168165,3.7495723212703,3.8623724691101,3.9783194400255,4.1020315304214,4.2362553094105,4.3857753479103,4.5471516826162,4.7061733313292,4.8416639356716,4.9374597932644,4.5970486178332,4.4960871735334,4.637408022687,4.7918645167359,5.0180991999829,5.2370764127615,5.1970145810483,5.4070711635497,5.7158283397316,5.9560026833499,6.28005298057,6.566872833654,6.8616990411174,7.1570127136178,7.449843894252,7.7608513383297,8.0707301934028,8.4062648035803,8.6835027235144,8.9748833057915,9.261087778827,9.5436541707418,9.8336660700215,10.151183668984,10.488995976077,10.760318679282,11.037665606911,11.324806338519,11.588228433375,11.857777891295,12.129797745577
ARE,4.1392711062812,5.4537980140008,6.5038431550475,7.7627877327513,9.2181432955439,10.85059991201,12.713528668323,14.767482853746,16.90862987824,18.993727407603,20.913844584073,22.47269545166,23.801075145951,25.005447584416,26.22234493946,27.560606868746,29.071643453961,30.723642583835,32.498296172494,34.365326204338,36.301211376225,38.085121628618,40.056626542439,41.991406984644,44.231395874614,46.497896579943,49.201668508345,52.27475550345,55.031888156365,58.133947574885,62.202369965573,65.802805257533,69.603481933822,74.903291503637,82.308726907808,91.829390725775,104.88358040947,119.69236838927,135.40112211667,148.2321458127,159.64182805546,169.21688069675,175.61688490753,180.06184308893,183.57680836641,187.49393701748,191.05646655216,194.22455693685,197.70824331992,201.07222145459,204.49343720718,207.87841016636
ARG,162.60300013444,183.92999883079,188.58699944885,193.41400013163,198.31599797253,203.21599912038,207.95799950029,212.66799942688,217.40499796027,222.24900120419,227.25700176872,232.63399882765,238.20399842795,243.92600041168,249.76499947513,255.69100101003,261.51499755127,267.3899982514,273.3269980426,279.31900216922,285.3589992303,295.15899846734,304.86800056393,314.83000116355,323.54500125247,326.63699966111,334.25799896136,344.09199850727,351.49600174797,353.72400344856,357.24899669871,358.27900379097,353.91200078079,363.38900005479,374.70900322334,328.12489542069,337.40690499388,236.29914887898,184.89289892531,184.94968615941,190.21897543175,194.73732798062,196.68946399044,199.65330116392,200.92624118117,203.95884429181,205.15895982131,207.94487735448,208.8910568471,210.61458319807,212.35233008643,213.98312612
ARM,9.3371984986559,11.047410093179,11.523697939849,12.009799704912,12.501935735546,12.996925689185,13.421122690446,13.832975984736,14.242902373918,14.652599882209,15.063341636539,15.384079366546,15.682510938416,15.978511790584,16.285468473478,16.610673706092,16.919570832504,17.241291449612,17.535318331272,17.733789442671,17.786998705244,17.006052602509,14.119545403262,13.072429282221,12.976895276388,13.047810615846,13.113228300634,13.099924019508,13.250841240261,13.279413258272,13.382951296791,13.66915829205,14.10447989569,14.580069881666,14.926453157575,15.35475252164,15.762117909709,10.022080313723,10.282392876295,9.8784818010252,9.8235872975798,9.9018581661824,10.061192969746,10.159234735959,10.256511917034,10.341779095139,10.38151637418,10.569720845363,10.726344328099,10.846744674106,10.968496481792,11.095316500297
ATG,1.0763038978294,1.2303195964464,1.2523052604617,1.2726213403259,1.2915795625939,1.3091609347221,1.3257865350968,1.3409746135233,1.353745312829,1.3622447537065,1.3654753850202,1.3633214405442,1.3565098852569,1.34594404274,1.3331386572682,1.3195274414671,1.3052703603361,1.2909987571509,1.2796385231806,1.2746175512044,1.2788316151419,1.2798875214605,1.2847458676756,1.3047454413715,1.3329485403869,1.3359397129192,1.3601785094892,1.3856059984861,1.4083032528223,1.4259983754114,1.4472539656093,1.423063667378,1.4057350956609,1.3996742957838,1.3928620798802,1.3869258389988,1.3943002124678,1.3948840226974,1.3724306526575,1.3166428848323,1.2701069835579,1.2536052931458,1.253130439414,1.2457806565643,1.2478514265426,1.2495479497028,1.2661983211842,1.2792171067549,1.2956906229025,1.3088980568345,1.3222401188236,1.3371057725713
AUS,459.4079988898,466.48199527119,473.55200219602,480.62200414974,487.69200170538,494.76299788598,500.61500343889,506.46700574288,512.31600099189,518.1680034372,524.02000178921,531.74899650996,539.48200184328,547.21100185723,554.94000596184,562.67299933001,572.05699822718,581.44399827694,590.82630027733,600.20869503314,609.59540656992,608.80389098879,602.51770694399,600.70535333427,577.22132548497,581.9686894641,525.11340721819,520.33283678175,492.57882057324,497.48240186679,489.57366686874,491.23115032581,498.20652302375,460.25016075864,442.5761953063,435.92920956443,424.85616536634,436.08559942254,452.31815224322,449.04102149982,459.95014334026,442.4492481314,390.70094034403,387.55643207243,360.34095493235,340.09462854573,352.62369508835,357.37050679884,362.07132818737,366.07732011064,370.12763471303,374.58213902999
