,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230217,08:12:09,22.98,72.58,43,19
1,20230217,08:12:19,23.52,72.42,24,15
2,20230217,08:13:15,25.01,66.84,77,28
3,20230217,20:01:17,19.47,-98.91,13,10
4,20230218,07:51:39,17.57,78.35,20,8
5,20230218,07:53:42,22.97,72.45,13,6
6,20230218,07:53:54,26.91,80.92,10,5
7,20230218,07:54:20,27.24,77.81,10,5
8,20230218,07:54:40,28.79,77.12,75,29
9,20230218,18:05:49,35.3,-80.84,3,1
10,20230218,19:43:48,24.37,-97.87,20,10
11,20230219,05:56:07,36.66,109.84,15,7
12,20230219,05:56:18,37.44,110.84,36,20
13,20230219,07:34:36,25.73,85.32,7,2
14,20230219,07:35:09,26.77,80.91,17,7
15,20230219,09:18:59,36.21,59.75,38,20
16,20230219,09:19:20,37.59,62.12,72,29
17,20230219,09:19:44,37.78,53.88,51,20
18,20230219,09:19:51,38.58,54.31,63,27
19,20230219,17:26:50,-34.6,-58.49,69,25
20,20230220,07:16:41,27.06,80.97,24,10
21,20230220,08:54:58,19.19,72.81,135,43
22,20230220,08:56:44,24.94,67.09,98,34
23,20230220,09:01:09,38.01,54.05,73,43
24,20230220,10:41:03,35.14,40.47,44,20
25,20230221,08:35:22,17.38,78.49,24,13
26,20230221,08:35:57,18.91,72.95,130,42
27,20230221,08:35:56,18.73,73.77,8,6
28,20230221,08:36:55,22.3,73.12,35,16
29,20230221,08:37:03,23.0,72.63,58,27
30,20230221,08:37:57,24.86,67.0,79,25
31,20230221,08:38:39,29.22,77.17,57,30
32,20230221,08:39:09,30.3,71.51,37,22
33,20230221,08:39:29,31.57,74.38,69,28
34,20230221,08:40:13,34.15,71.77,16,11
35,20230221,10:16:36,15.57,46.18,13,6
36,20230221,10:22:04,34.5,41.2,30,14
37,20230222,08:16:33,17.58,78.55,27,9
38,20230222,08:17:14,18.96,73.03,54,28
39,20230222,08:20:33,31.36,73.27,24,11
40,20230222,08:22:43,36.82,63.64,54,32
41,20230222,08:22:58,37.36,62.31,47,14
42,20230222,10:03:35,35.06,40.65,29,11
43,20230223,07:57:48,17.05,78.89,45,16
44,20230223,07:59:33,22.3,72.95,13,6
45,20230223,07:59:44,22.98,72.61,17,7
46,20230223,08:00:49,28.45,77.53,68,30
47,20230223,08:01:44,31.52,74.3,113,47
48,20230223,08:02:39,33.99,71.52,39,13
49,20230223,11:24:20,29.16,21.41,15,5
50,20230224,07:39:10,17.49,78.56,38,16
51,20230224,07:43:08,31.43,74.38,58,25
52,20230224,12:50:05,40.31,-3.88,9,5
