,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230304,18:43:18,32.2,-93.35,12,6
1,20230304,20:23:30,31.4,-103.55,12,6
2,20230304,20:23:24,31.23,-101.65,13,8
3,20230304,20:23:33,31.66,-104.02,23,10
4,20230305,08:10:15,17.93,78.45,12,5
5,20230305,08:13:58,30.19,71.43,27,9
6,20230305,08:14:09,31.25,73.25,30,11
7,20230305,08:14:19,32.13,74.47,27,9
8,20230305,13:18:31,31.85,6.26,25,9
9,20230305,18:24:25,33.37,-87.3,11,5
10,20230305,18:24:22,35.23,-81.04,3,2
11,20230307,05:54:49,32.83,116.45,48,21
12,20230307,05:55:03,33.77,113.29,19,9
13,20230307,07:33:47,23.61,86.61,28,18
14,20230307,07:33:41,23.83,90.57,386,221
15,20230307,07:35:50,28.7,77.31,44,14
16,20230307,07:36:52,31.45,74.31,43,18
17,20230308,07:12:42,16.82,95.99,23,10
18,20230308,08:57:12,27.49,69.83,12,5
19,20230309,06:53:49,17.09,96.12,21,13
20,20230309,06:56:42,27.16,95.17,26,10
21,20230309,08:36:52,22.69,72.1,13,5
22,20230309,08:37:46,24.94,66.83,71,43
23,20230309,08:37:57,26.2,68.86,13,10
24,20230309,08:39:16,31.39,73.17,7,4
25,20230309,08:39:18,31.65,74.2,25,8
26,20230309,08:40:02,34.1,71.89,37,12
27,20230309,12:03:35,31.89,6.26,56,18
28,20230310,06:35:14,17.18,95.99,10,3
29,20230310,08:19:09,24.86,67.08,106,59
30,20230310,08:19:12,25.61,68.29,19,12
31,20230310,08:19:26,28.63,77.62,49,16
32,20230310,08:20:23,31.43,73.04,47,17
33,20230310,08:20:36,32.37,73.97,61,36
34,20230310,11:27:32,-26.35,27.73,20,9
