,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230314,05:24:04,35.5,112.49,108,44
1,20230314,07:10:30,53.82,88.1,25,14
2,20230314,08:44:39,28.67,77.45,159,57
3,20230314,08:48:17,41.2,69.2,20,8
4,20230314,10:22:39,15.68,46.3,11,4
5,20230314,11:52:20,-26.52,29.02,37,15
6,20230315,05:11:38,58.53,107.52,13,5
7,20230315,06:51:27,53.71,91.04,13,4
8,20230315,06:51:39,53.85,87.97,66,35
9,20230315,08:28:49,38.3,65.89,11,4
10,20230315,08:29:00,37.52,61.76,110,40
11,20230315,08:29:38,40.11,61.22,17,6
12,20230315,08:29:23,41.13,69.18,22,14
13,20230315,13:33:30,40.28,-3.64,12,5
14,20230315,18:36:37,33.44,-87.19,11,6
15,20230315,18:37:36,38.36,-82.95,3,3
16,20230316,08:07:47,31.61,74.33,19,9
17,20230316,18:18:43,38.88,-77.51,27,14
18,20230317,04:07:12,-32.66,151.1,14,7
19,20230317,07:52:06,41.37,69.04,29,13
20,20230317,07:54:59,54.25,87.43,36,14
21,20230318,03:48:26,-32.5,150.94,38,22
22,20230318,07:27:22,23.81,90.11,42,21
23,20230318,07:35:56,54.21,87.06,75,44
24,20230318,07:35:56,53.92,88.2,31,22
25,20230318,07:38:56,61.16,61.76,71,40
26,20230318,09:12:41,37.18,62.92,86,28
27,20230319,08:49:33,22.8,72.68,17,10
28,20230319,08:53:42,36.49,61.76,22,7
29,20230320,08:35:21,37.63,61.86,105,40
30,20230320,08:35:18,37.83,63.86,33,12
31,20230320,10:12:51,25.42,47.22,48,19
32,20230320,10:13:41,28.81,47.01,20,18
33,20230320,10:14:15,30.36,47.56,11,4
34,20230320,10:14:28,31.41,48.96,17,6
35,20230320,18:43:44,37.21,-82.61,3,1
36,20230320,18:43:52,37.85,-81.23,4,1
37,20230320,18:44:25,39.9,-80.29,53,24
38,20230321,08:13:05,24.87,66.83,114,35
39,20230321,08:16:37,36.62,61.52,49,16
40,20230321,08:16:53,37.69,61.48,81,33
41,20230321,09:57:56,39.94,53.37,93,50
42,20230321,13:21:08,40.18,-3.77,16,5
43,20230321,20:01:28,20.48,-97.63,12,6
44,20230322,06:20:44,53.79,87.95,45,22
45,20230322,07:54:36,28.69,77.03,68,42
46,20230322,07:54:48,29.42,76.98,9,5
47,20230322,07:58:09,40.57,70.99,7,4
48,20230322,07:58:28,41.07,69.24,19,9
49,20230322,12:59:37,31.73,5.97,10,5
50,20230323,07:33:56,23.66,86.76,43,18
51,20230323,07:35:53,28.59,77.36,47,17
52,20230323,12:40:57,32.08,6.27,15,9
