,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230210,08:42:20,19.18,72.78,85,33
1,20230210,08:42:18,18.73,73.78,10,9
2,20230210,08:42:58,21.19,72.78,51,17
3,20230210,08:43:28,22.99,72.57,84,46
4,20230210,10:25:05,21.66,39.34,11,4
5,20230211,06:44:03,23.87,90.26,343,164
6,20230211,08:22:51,17.42,78.64,23,12
7,20230211,08:23:25,18.64,73.66,8,7
8,20230211,08:24:39,23.17,72.53,17,8
9,20230211,08:25:23,26.47,80.13,28,13
10,20230211,08:26:03,28.72,77.24,72,23
11,20230211,13:32:13,33.41,-7.54,17,6
12,20230211,20:17:17,31.41,-101.43,19,6
13,20230212,06:33:12,53.76,87.98,45,27
14,20230212,08:07:04,28.42,77.71,59,21
15,20230212,08:07:46,30.47,74.79,89,30
16,20230212,08:11:03,41.16,68.85,22,15
17,20230212,13:13:33,33.42,-7.6,8,3
18,20230212,19:55:06,19.52,-98.92,5,3
19,20230212,19:58:27,32.12,-94.46,15,8
20,20230213,07:44:08,13.0,80.24,35,12
21,20230213,07:46:28,23.49,90.89,119,62
22,20230213,09:32:28,38.58,54.2,20,7
23,20230214,07:27:35,23.67,90.73,101,39
24,20230214,07:27:44,23.63,86.63,27,10
25,20230214,09:09:20,24.85,67.32,124,39
26,20230215,07:08:20,22.38,91.85,35,12
27,20230215,07:08:38,22.55,88.46,31,13
28,20230215,07:08:43,23.48,90.77,85,35
29,20230215,07:09:02,23.56,85.98,56,20
30,20230215,08:49:45,23.0,72.59,25,16
31,20230215,08:50:29,24.93,66.91,116,39
32,20230216,05:10:13,31.17,121.41,12,5
33,20230216,06:50:08,23.81,90.91,26,10
34,20230216,06:58:19,54.01,87.5,48,18
35,20230216,06:58:13,53.84,88.05,29,11
36,20230216,08:29:09,16.97,77.85,40,19
37,20230216,08:30:54,22.95,72.46,23,14
38,20230216,13:40:07,40.23,-3.68,22,10
